,product,Name,Stars,Title,Date,Verification,Description
0,mens Nike Downshifter 12 Running Shoe,Vishal,4.0,Good not awesome,6 February 2024,N/A,"All comfortable level okk. It's color different I like it,it is 1st day review . Box condition is poor as compare addidas."
1,Mens Full Force LoRunning Shoe,Dev Wankhede,4.0,Brand,17 March 2024,Verified Purchase,Quality is amazing 😍👍🤩Product is very good 💕Worth it in priceComfortable and stylish for party as well as party wear
2,Mens Full Force LoRunning Shoe,Amazon Customer,5.0,One of the best comfortable shoes i have ever purchased,27 February 2024,Verified Purchase,"These are one of the best shoes, I didn't had a  thought in my mind  for the whole day that i am wearing a new shoes need to be little cautious. Felt like i have been wearing this for an year, these are so perfectly comfortable.Branding is crisp and clear."
3,Mens Full Force LoRunning Shoe,Damon Satoru,1.0,Not authentic,15 March 2024,Verified Purchase,"I've checked with the scanner and it does not work and the place where shoe tie is placed, looks kinda cheap.All over, I don't think it's worth over 5k at all"
4,Mens Full Force LoRunning Shoe,Abhay wadkar,4.0,Not expected from nike!!!,13 March 2024,Verified Purchase,"The media could not be loaded.
                



Packaging of the product was good but the box of the shoes is damaged and by the way shoes are in  excellent condition  and comfortable too.I ordered the blue colored (white/polar-black-sail blang) shoes it really looks very crazy."
5,Mens Full Force LoRunning Shoe,Sai,5.0,Product is awesome,23 February 2024,Verified Purchase,Worth 7K product. Quality and packing is good.
6,Mens Full Force LoRunning Shoe,Amazon Customer,4.0,Very good looking shoes and comfortable,15 March 2024,Verified Purchase,
7,Mens Full Force LoRunning Shoe,Akanksha,2.0,Pathetic,2 March 2024,Verified Purchase,Feels like wearing hard stones. Sole too hard. Can't even walk for 5km no chance of running. Extremely uncomfortable
8,Mens Full Force LoRunning Shoe,The packaging was in very bad condition. Though the shoe is somehow is in fine condition. Expect better service in future.,4.0,Packaging was very poor,11 March 2024,Verified Purchase,
9,Mens Full Force LoRunning Shoe,nishant,5.0,Product quality is very good,21 February 2024,Verified Purchase,Overall product quality is good
10,Mens Full Force LoRunning Shoe,Edgar Ramiro Tijo Caranton,N/A,N/A,15 March 2024,Verified Purchase,"Muy buena mercancía, originalidad y calidad."
11,Men's Manoa Leather Shoes Trail Running,Dev Wankhede,4.0,Brand,17 March 2024,Verified Purchase,Quality is amazing 😍👍🤩Product is very good 💕Worth it in priceComfortable and stylish for party as well as party wear
12,Men's Manoa Leather Shoes Trail Running,Amazon Customer,5.0,One of the best comfortable shoes i have ever purchased,27 February 2024,Verified Purchase,"These are one of the best shoes, I didn't had a  thought in my mind  for the whole day that i am wearing a new shoes need to be little cautious. Felt like i have been wearing this for an year, these are so perfectly comfortable.Branding is crisp and clear."
13,Men's Manoa Leather Shoes Trail Running,Damon Satoru,1.0,Not authentic,15 March 2024,Verified Purchase,"I've checked with the scanner and it does not work and the place where shoe tie is placed, looks kinda cheap.All over, I don't think it's worth over 5k at all"
14,Men's Manoa Leather Shoes Trail Running,Abhay wadkar,4.0,Not expected from nike!!!,13 March 2024,Verified Purchase,"The media could not be loaded.
                



Packaging of the product was good but the box of the shoes is damaged and by the way shoes are in  excellent condition  and comfortable too.I ordered the blue colored (white/polar-black-sail blang) shoes it really looks very crazy."
15,Men's Manoa Leather Shoes Trail Running,Sai,5.0,Product is awesome,23 February 2024,Verified Purchase,Worth 7K product. Quality and packing is good.
16,Men's Manoa Leather Shoes Trail Running,Amazon Customer,4.0,Very good looking shoes and comfortable,15 March 2024,Verified Purchase,
17,Men's Manoa Leather Shoes Trail Running,Akanksha,2.0,Pathetic,2 March 2024,Verified Purchase,Feels like wearing hard stones. Sole too hard. Can't even walk for 5km no chance of running. Extremely uncomfortable
18,Men's Manoa Leather Shoes Trail Running,The packaging was in very bad condition. Though the shoe is somehow is in fine condition. Expect better service in future.,4.0,Packaging was very poor,11 March 2024,Verified Purchase,
19,Men's Manoa Leather Shoes Trail Running,nishant,5.0,Product quality is very good,21 February 2024,Verified Purchase,Overall product quality is good
20,Men's Manoa Leather Shoes Trail Running,Edgar Ramiro Tijo Caranton,N/A,N/A,15 March 2024,Verified Purchase,"Muy buena mercancía, originalidad y calidad."
21,Mens Court Royale 2 NnSneaker,SHAiKH-SAHiL,5.0,Aowsome Quality,4 February 2024,Verified Purchase,Wonderfull snearkers in price
22,Mens Court Royale 2 NnSneaker,Rajender Singh Bisht,4.0,Original Nike,12 November 2023,Verified Purchase,Nice comfort shoe
23,Mens Court Royale 2 NnSneaker,Rupan,5.0,It's awesome 😎,29 October 2023,Verified Purchase,
24,Mens Court Royale 2 NnSneaker,Amazon Customer,5.0,Looks are top-noch,16 March 2024,N/A,It's very comfortable. very stylish overall quality it's also very good overall all very good highly recommend. best shies under 5000 if you are buying
25,Mens Court Royale 2 NnSneaker,Sajid Ali Ansari,4.0,Nice shoes 😍,1 December 2022,Verified Purchase,The media could not be loaded.
26,Mens Court Royale 2 NnSneaker,Prat D,1.0,Too narrow,3 October 2023,Verified Purchase,The shoes are very narrow in size. Feels very uncomfortable and very tight.
27,Mens Court Royale 2 NnSneaker,krystn,2.0,This product is duplicate.,19 December 2022,N/A,I compared the product with original one and there is lot of difference. Always compare it on the brand website and buy.
28,Mens Court Royale 2 NnSneaker,Supreeth,4.0,Sole is hard,26 November 2022,N/A,
29,Mens Court Royale 2 NnSneaker,Arturo Valoria,N/A,N/A,23 January 2024,Verified Purchase,"Las tuve de chaval, época de McEnroe, quien las popularizó en los ochenta. Y me las compré hace dos años casualmente al verlas de nuevo en venta en tienda. Apenas me las quité. Comodísimas. y bien hechas. Uso intensivo. Me las he vuelto a comprar. Mismas. Handicap, lo fino de la piel ahora. Se acaba rasgando ahí. Hay que hidratar las arrugas que le vayan saliendo para alargarles la vida."
30,Mens Court Royale 2 NnSneaker,pieter k,N/A,N/A,1 March 2024,Verified Purchase,"Good looking shoe but pretty much unwearable for me personally because of how shallow the toe box is. Sadly, this only started to become apparent after breaking them in, once the crease across the toe box had formed. Since the shoe is made entirely from synthetic materials this discomfort is unlikely to clear over time. They seemed comfortable at first but after a solid day of wear it now feels like torture with the crease digging into my toes at every step.I ordered half a size up as recommended. Other than the aforementioned vertical narrowness I did not notice any discomforts, although the shoe overall is admittedly on the narrow side. For those with exceptionally wide feet this may not offer a good fit."
31,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,SHAiKH-SAHiL,5.0,Aowsome Quality,4 February 2024,Verified Purchase,Wonderfull snearkers in price
32,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,Rajender Singh Bisht,4.0,Original Nike,12 November 2023,Verified Purchase,Nice comfort shoe
33,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,Rupan,5.0,It's awesome 😎,29 October 2023,Verified Purchase,
34,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,Amazon Customer,5.0,Looks are top-noch,16 March 2024,N/A,It's very comfortable. very stylish overall quality it's also very good overall all very good highly recommend. best shies under 5000 if you are buying
35,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,Sajid Ali Ansari,4.0,Nice shoes 😍,1 December 2022,Verified Purchase,The media could not be loaded.
36,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,Prat D,1.0,Too narrow,3 October 2023,Verified Purchase,The shoes are very narrow in size. Feels very uncomfortable and very tight.
37,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,krystn,2.0,This product is duplicate.,19 December 2022,N/A,I compared the product with original one and there is lot of difference. Always compare it on the brand website and buy.
38,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,Supreeth,4.0,Sole is hard,26 November 2022,N/A,
39,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,Arturo Valoria,N/A,N/A,23 January 2024,Verified Purchase,"Las tuve de chaval, época de McEnroe, quien las popularizó en los ochenta. Y me las compré hace dos años casualmente al verlas de nuevo en venta en tienda. Apenas me las quité. Comodísimas. y bien hechas. Uso intensivo. Me las he vuelto a comprar. Mismas. Handicap, lo fino de la piel ahora. Se acaba rasgando ahí. Hay que hidratar las arrugas que le vayan saliendo para alargarles la vida."
40,Revolution 7-Black/University RED-WHITE-FB2207-003-8UK,pieter k,N/A,N/A,1 March 2024,Verified Purchase,"Good looking shoe but pretty much unwearable for me personally because of how shallow the toe box is. Sadly, this only started to become apparent after breaking them in, once the crease across the toe box had formed. Since the shoe is made entirely from synthetic materials this discomfort is unlikely to clear over time. They seemed comfortable at first but after a solid day of wear it now feels like torture with the crease digging into my toes at every step.I ordered half a size up as recommended. Other than the aforementioned vertical narrowness I did not notice any discomforts, although the shoe overall is admittedly on the narrow side. For those with exceptionally wide feet this may not offer a good fit."
41,Revolution 7-Black/University RED-WHITE-FB2207-003-9UK,Shubham,5.0,Excellent,17 March 2024,Verified Purchase,Excellent and comfortable
42,Revolution 7-Black/University RED-WHITE-FB2207-003-9UK,Anudeep Reddy Chinnannagari,5.0,Good Comfort,8 March 2024,Verified Purchase,Good Comfort
43,Mens Flex Experience Rn 11 Nn Running Shoe,SURAJ SONWANE,5.0,Comfortable,22 March 2024,Verified Purchase,Nice shoes
44,Mens Flex Experience Rn 11 Nn Running Shoe,Nagendra singh,5.0,Worth it,19 March 2024,Verified Purchase,Comfy shoes with excellent cusion.
45,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),Aastha Sharma,5.0,Reviewing the Nike shoes,11 January 2024,Verified Purchase,"The packaging was sturdyDelivered on time , with polite behaviour of the delivery boy .Shoes are best of its quality and durable with perfect size ."
46,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),Good one,4.0,Good,19 February 2024,Verified Purchase,Nice
47,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),Mugdha Agarwal,1.0,Waste of money,1 March 2024,Verified Purchase,Shoe broke in 1 month. It's mouth opened in front. Nike is saying no warranty on shoe because Amazon is not their official channel partner. Amazon is of zero help.
48,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),Soks,5.0,Comfortable,24 January 2024,Verified Purchase,Nice & comfortable
49,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),dharmesh d.,5.0,Nike Shoes,24 December 2023,Verified Purchase,Nice & comfortable product as required and colour and product discription delivered as per shown in the App . good one Thank you
50,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),Pradip Upadhyay,4.0,Good,29 November 2023,Verified Purchase,Nice shoe at this price
51,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),sameer,5.0,Very good product and value for money,10 July 2023,Verified Purchase,Very good product and value for money. Good for casual use and not for running.base is a bit hard and need some additional cushioning for comfort.
52,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),RUFAIDA,4.0,On track it's good buy when it comes to off road the bottom is bad,15 November 2023,Verified Purchase,Comfort is good but not for long sections
53,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),Amazon Customer,4.0,Nike,27 August 2023,Verified Purchase,Nice one
54,Mens Downshifter 12 GEODE Teal/Black-Purple Ink-Lime Blast Running Shoe - 7 UK (8 US) (DD9293-301),D Singh,4.0,Good Casual Shoes,20 May 2023,Verified Purchase,These are a good pair of casual shoes though I would not recommend them for running or exercise but for events or normal activities they are great.
55,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,Aastha Sharma,5.0,Reviewing the Nike shoes,11 January 2024,Verified Purchase,"The packaging was sturdyDelivered on time , with polite behaviour of the delivery boy .Shoes are best of its quality and durable with perfect size ."
56,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,Good one,4.0,Good,19 February 2024,Verified Purchase,Nice
57,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,Mugdha Agarwal,1.0,Waste of money,1 March 2024,Verified Purchase,Shoe broke in 1 month. It's mouth opened in front. Nike is saying no warranty on shoe because Amazon is not their official channel partner. Amazon is of zero help.
58,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,Soks,5.0,Comfortable,24 January 2024,Verified Purchase,Nice & comfortable
59,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,dharmesh d.,5.0,Nike Shoes,24 December 2023,Verified Purchase,Nice & comfortable product as required and colour and product discription delivered as per shown in the App . good one Thank you
60,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,Pradip Upadhyay,4.0,Good,29 November 2023,Verified Purchase,Nice shoe at this price
61,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,sameer,5.0,Very good product and value for money,10 July 2023,Verified Purchase,Very good product and value for money. Good for casual use and not for running.base is a bit hard and need some additional cushioning for comfort.
62,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,RUFAIDA,4.0,On track it's good buy when it comes to off road the bottom is bad,15 November 2023,Verified Purchase,Comfort is good but not for long sections
63,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,Amazon Customer,4.0,Nike,27 August 2023,Verified Purchase,Nice one
64,Mens M Zoom Court Lite 3 Tennis ShoesBoat Shoe,D Singh,4.0,Good Casual Shoes,20 May 2023,Verified Purchase,These are a good pair of casual shoes though I would not recommend them for running or exercise but for events or normal activities they are great.
65,Mens Air Max Systm Men's ShoesSneaker,V Karthik,5.0,Nice,23 February 2024,Verified Purchase,Thank you ekart
66,Mens Air Max Systm Men's ShoesSneaker,Pradip.purohit,5.0,Very nice product,26 February 2024,Verified Purchase,Comfortable shoes
67,Mens Air Max Systm Men's ShoesSneaker,Pushpendra kumar,1.0,Paise ki barbadi,13 March 2024,Verified Purchase,
68,Mens Air Max Systm Men's ShoesSneaker,Rossy Hernández,N/A,N/A,29 January 2024,Verified Purchase,"!A mi esposo le encantó! Tal cual la descripción, cómodos, bonitos y en perfectas condiciones. Recibidos en la fecha y originales."
69,Mens Air Max Systm Men's ShoesSneaker,Antonio,N/A,N/A,21 February 2024,Verified Purchase,"Unas zapatillas muy bonitas y cómodas, estoy satisfecho con mi compra.Ojo son de tela!! Estoy conforme aún así pero no son para si llueve o hace frío."
70,Mens Downshifter 12 Running Shoe,V Karthik,5.0,Nice,23 February 2024,Verified Purchase,Thank you ekart
71,Mens Downshifter 12 Running Shoe,Pradip.purohit,5.0,Very nice product,26 February 2024,Verified Purchase,Comfortable shoes
72,Mens Downshifter 12 Running Shoe,Pushpendra kumar,1.0,Paise ki barbadi,13 March 2024,Verified Purchase,
73,Mens Downshifter 12 Running Shoe,Rossy Hernández,N/A,N/A,29 January 2024,Verified Purchase,"!A mi esposo le encantó! Tal cual la descripción, cómodos, bonitos y en perfectas condiciones. Recibidos en la fecha y originales."
74,Mens Downshifter 12 Running Shoe,Antonio,N/A,N/A,21 February 2024,Verified Purchase,"Unas zapatillas muy bonitas y cómodas, estoy satisfecho con mi compra.Ojo son de tela!! Estoy conforme aún así pero no son para si llueve o hace frío."
75,mens Nike Waffle Debut Se Running Shoes,Varun Verma,3.0,Looks are not good. Good comfort. Suggest to look for other options,19 February 2024,Verified Purchase,The shoe does not looks as good as shown. It looks like a 1000-1500 rs shoe. Fitting is slightly tight.
76,Mens Waffle NavRunning Shoe,Vinod Shewale,5.0,Too good,4 November 2023,Verified Purchase,Amazingly good product
77,Mens Waffle NavRunning Shoe,RG2,4.0,Nice Quality shoe,20 August 2023,Verified Purchase,Teal is quite bright.. shoe is good though.
78,Mens Waffle NavRunning Shoe,Ankur Baruah,3.0,Expected a better finished product!,22 February 2024,Verified Purchase,"Shoes are good looking no doubt but the stitching could have been better done, considering the price."
79,Mens Waffle NavRunning Shoe,saveen,5.0,The product is orginal,1 August 2023,Verified Purchase,The product is orginal and it’s very comfortable
80,Mens Waffle NavRunning Shoe,Namit s.,5.0,Nike,3 July 2023,Verified Purchase,Nike is the best
81,Mens Waffle NavRunning Shoe,Gitimoni Baruah,5.0,Good quality product,4 February 2024,N/A,Good quality product. Looks good and the fits well and price is also right.Good product and the value is right.
82,Mens Waffle NavRunning Shoe,P.B.,N/A,N/A,22 November 2023,Verified Purchase,Sind nicht gut verarbeitet und fallen riesig aus. Also irgendwie sind jede Art Schuhe von Nike unterschiedlich groß. Nervt!
